Year,Region Code,Region,BNF Chemical Substance Code,BNF Chemical Substance,BNF Product Code,BNF Product,Items,Total number of unique identified patients,Patient Identified (Y/N),Patient Age Band (Years old),Gender,Net Ingredient Cost (£)
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,54,47,Y,18-29,Male,"6,906.24"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,250,224,Y,30-39,Female,"29,704.68"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,130,120,Y,30-39,Male,"14,871.96"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,846,738,Y,40-49,Female,"93,351.96"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,489,443,Y,40-49,Male,"56,780.28"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,890","1,639",Y,50-59,Female,"228,455.28"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,431","1,253",Y,50-59,Male,"172,695.24"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"3,403","3,023",Y,60+,Female,"439,331.04"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"3,298","2,888",Y,60+,Male,"418,023.72"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,26,26,Y,18-29,Female,"4,198.68"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,12,10,Y,18-29,Male,"2,001.24"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,123,106,Y,30-39,Female,"20,365.56"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,27,23,Y,30-39,Male,"4,277.16"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,171,145,Y,40-49,Female,"34,531.20"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,63,57,Y,40-49,Male,"11,497.32"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,231,201,Y,50-59,Female,"41,319.72"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,62,58,Y,50-59,Male,"9,810.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,159,106,Y,60+,Female,"25,819.92"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,100,81,Y,60+,Male,"19,306.08"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,1,0,N,60+,Not Known (not recorded),57.93
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,2,2,Y,30-39,Male,231.72
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,25,22,Y,40-49,Female,"1,651.04"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,24,20,Y,40-49,Male,"1,364.06"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,88,76,Y,50-59,Female,"7,067.48"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,72,64,Y,50-59,Male,"4,981.98"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,144,129,Y,60+,Female,"11,643.97"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,112,106,Y,60+,Male,"10,224.70"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,6,6,Y,40-49,Female,637.23
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,4,4,Y,40-49,Male,347.58
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,6,6,Y,50-59,Female,347.58
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,3,3,Y,50-59,Male,347.58
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,32,26,Y,60+,Female,"3,591.66"
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,16,16,Y,60+,Male,"1,216.53"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,3,0,N,40-49,Not Known (not recorded),274.69
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,6,0,N,50-59,Not Known (not recorded),549.38
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,2,0,N,60+,Not Known (not recorded),146.5
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,283,239,Y,18-29,Female,"24,520.46"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,146,128,Y,18-29,Male,"11,427.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"1,264","1,075",Y,30-39,Female,"103,941.84"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,696,608,Y,30-39,Male,"56,915.32"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"4,031","3,422",Y,40-49,Female,"341,015.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"3,380","2,934",Y,40-49,Male,"287,982.38"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"9,352","7,989",Y,50-59,Female,"810,658.02"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"7,756","6,691",Y,50-59,Male,"683,184.33"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"15,403","12,911",Y,60+,Female,"1,377,410.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,13,12,Y,60+,Indeterminate (unable to be classified as either male or female),952.25
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQAA,Dulaglutide,"14,717","12,562",Y,60+,Male,"1,328,809.58"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,6,0,N,40-49,Not Known (not recorded),512.75
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,3,0,N,50-59,Not Known (not recorded),219.75
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,7,0,N,60+,Not Known (not recorded),879
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,371,329,Y,18-29,Female,"31,186.20"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,266,238,Y,18-29,Male,"22,963.88"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"1,652","1,441",Y,30-39,Female,"134,798.35"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"1,058",905,Y,30-39,Male,"90,317.24"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"5,257","4,537",Y,40-49,Female,"457,794.20"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"4,747","3,986",Y,40-49,Male,"414,649.74"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"13,169","11,329",Y,50-59,Female,"1,170,590.01"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"11,964","10,363",Y,50-59,Male,"1,083,862.02"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"22,275","19,002",Y,60+,Female,"2,020,784.34"
Dec 22 - Nov 23,Y56,LONDON,0601023AQ,Dulaglutide,0601023AQBB,Trulicity,"24,314","21,043",Y,60+,Male,"2,265,787.53"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,3,3,Y,30-39,Male,573.18
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,9,8,Y,40-49,Female,859.77
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,5,5,Y,50-59,Female,"1,464.78"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,7,7,Y,50-59,Male,"1,337.42"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,37,34,Y,60+,Female,"5,859.19"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUAA,Ins degludec/liraglutide,12,11,Y,60+,Male,"4,298.83"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,8,8,Y,18-29,Female,987.14
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,8,7,Y,18-29,Male,764.24
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,18,14,Y,30-39,Female,"2,101.66"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,18,17,Y,30-39,Male,"3,279.84"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,75,65,Y,40-49,Female,"9,839.62"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,69,62,Y,40-49,Male,"9,393.79"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,146,136,Y,50-59,Female,"20,061.34"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,68,55,Y,50-59,Male,"10,317.27"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,281,246,Y,60+,Female,"39,645.04"
Dec 22 - Nov 23,Y56,LONDON,0601023AU,Ins degludec/liraglutide,0601023AUBB,Xultophy,306,265,Y,60+,Male,"47,096.34"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,1,0,N,18-29,Not Known (not recorded),73.25
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,2,0,N,30-39,Not Known (not recorded),219.75
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,6,0,N,40-49,Not Known (not recorded),805.75
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,9,0,N,50-59,Not Known (not recorded),"1,025.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,13,0,N,60+,Not Known (not recorded),"1,758.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,733,629,Y,18-29,Female,"89,218.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,354,294,Y,18-29,Male,"45,415.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"2,130","1,758",Y,30-39,Female,"256,353.03"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"1,379","1,162",Y,30-39,Male,"167,303.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"6,007","4,942",Y,40-49,Female,"691,069.81"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"3,319","2,788",Y,40-49,Male,"386,686.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"10,827","9,067",Y,50-59,Female,"1,288,321.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"8,698","7,284",Y,50-59,Male,"1,063,641.28"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"15,180","12,683",Y,60+,Female,"1,750,235.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWAA,Semaglutide,"15,898","13,295",Y,60+,Male,"1,865,384.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,1,0,N,18-29,Not Known (not recorded),73.25
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,2,0,N,30-39,Not Known (not recorded),146.5
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,1,0,N,40-49,Not Known (not recorded),73.25
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,10,0,N,50-59,Not Known (not recorded),"2,270.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,16,0,N,60+,Not Known (not recorded),"2,490.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,477,415,Y,18-29,Female,"54,644.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,272,238,Y,18-29,Male,"26,736.25"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"1,438","1,210",Y,30-39,Female,"174,921.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,981,798,Y,30-39,Male,"106,871.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"3,544","2,971",Y,40-49,Female,"392,693.25"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"2,437","2,081",Y,40-49,Male,"276,152.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"7,492","6,216",Y,50-59,Female,"863,910.50"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"5,721","4,760",Y,50-59,Male,"656,320.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"9,420","7,786",Y,60+,Female,"1,111,568.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,"9,164","7,682",Y,60+,Male,"1,063,590.00"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBB,Ozempic,6,5,Y,60+,Not Known (not recorded),"1,098.75"
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,1,1,Y,50-59,Female,73.25
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,3,2,Y,50-59,Male,219.75
Dec 22 - Nov 23,Y56,LONDON,0601023AW,Semaglutide,0601023AWBD,Wegovy,3,3,Y,60+,Male,219.75
Dec 22 - Nov 23,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,1,Y,40-49,Male,140
Dec 22 - Nov 23,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,1,Y,50-59,Male,280
Dec 22 - Nov 23,Y56,LONDON,0601023AZ,Tirzepatide,0601023AZAA,Tirzepatide,1,1,Y,60+,Female,140
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,4,4,Y,18-29,Female,392.39
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,30,25,Y,30-39,Female,"2,808.15"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,4,4,Y,30-39,Male,366.8
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,64,57,Y,40-49,Female,"6,498.32"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,56,51,Y,40-49,Male,"4,974.83"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,232,207,Y,50-59,Female,"24,350.36"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,133,118,Y,50-59,Male,"14,895.47"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,911,812,Y,60+,Female,"106,395.66"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0AA,Exenatide,767,680,Y,60+,Male,"87,784.44"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,6,5,Y,30-39,Female,491.34
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,11,11,Y,40-49,Female,"1,719.69"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,16,12,Y,40-49,Male,"6,551.20"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,13,12,Y,50-59,Female,"2,129.14"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,55,46,Y,50-59,Male,"6,714.98"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,62,57,Y,60+,Female,"9,171.68"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BB,Byetta,105,95,Y,60+,Male,"12,774.84"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,5,4,Y,18-29,Female,311.78
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,6,6,Y,18-29,Male,440.16
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,19,18,Y,30-39,Female,"1,540.56"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,29,25,Y,30-39,Male,"2,934.40"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,92,76,Y,40-49,Female,"6,749.12"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,101,91,Y,40-49,Male,"7,922.88"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,274,236,Y,50-59,Female,"22,906.66"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,192,173,Y,50-59,Male,"17,404.66"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,520,454,Y,60+,Female,"46,436.88"
Dec 22 - Nov 23,Y56,LONDON,0601023Y0,Exenatide,0601023Y0BC,Bydureon,513,469,Y,60+,Male,"46,400.20"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,40-49,Not Known (not recorded),117.72
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,3,0,N,50-59,Not Known (not recorded),235.44
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,23,0,N,60+,Not Known (not recorded),"2,315.16"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,46,43,Y,18-29,Female,"4,473.36"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,9,9,Y,18-29,Male,863.28
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,122,99,Y,30-39,Female,"12,282.12"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,78,67,Y,30-39,Male,"8,122.68"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,440,371,Y,40-49,Female,"47,558.88"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,215,183,Y,40-49,Male,"23,347.80"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"1,020",878,Y,50-59,Female,"112,501.08"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,828,698,Y,50-59,Male,"88,368.48"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"2,170","1,905",Y,60+,Female,"252,666.36"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"2,545","2,174",Y,60+,Male,"290,415.24"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,2,0,N,30-39,Not Known (not recorded),117.72
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,1,0,N,40-49,Not Known (not recorded),117.72
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,8,0,N,50-59,Not Known (not recorded),627.84
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,53,0,N,60+,Not Known (not recorded),"5,022.72"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,65,59,Y,18-29,Female,"7,298.64"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,29,25,Y,18-29,Male,"2,393.64"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,361,309,Y,30-39,Female,"32,804.64"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,131,112,Y,30-39,Male,"13,655.52"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,872,751,Y,40-49,Female,"85,111.56"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,551,472,Y,40-49,Male,"56,623.32"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,"2,213","1,907",Y,50-59,Female,"227,788.20"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,515","1,324",Y,50-59,Male,"151,584.12"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,"4,172","3,620",Y,60+,Female,"446,276.52"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBB,Victoza,"4,243","3,741",Y,60+,Male,"441,253.80"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBC,Saxenda,1,0,N,40-49,Not Known (not recorded),117.72
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBC,Saxenda,6,6,Y,18-29,Female,"2,354.40"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBC,Saxenda,10,8,Y,18-29,Male,"1,412.64"
Dec 22 - Nov 23,Y58,SOUTH WEST,0601023AB,Liraglutide,0601023ABBC,Saxenda,16,14,Y,30-39,Female,"2,197.44"
